playlist_id,playlist_name,playlist_img,playlist_owner_name,playlist_owner_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,analysis_url,time_signature,added_at,is_local,primary_color,added_by.href,added_by.id,added_by.type,added_by.uri,added_by.external_urls.spotify,track.artists,track.available_markets,track.disc_number,track.duration_ms,track.episode,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track,track.track_number,track.type,track.uri,track.album.album_type,track.album.artists,track.album.available_markets,track.album.href,track.album.id,track.album.images,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url,key_name,mode_name,key_mode,Category
37i9dQZF1DXcx1szy2g67M,Summer '22,https://i.scdn.co/image/ab67706f00000003835b7c5625fe92e2a09ae20b,Spotify,spotify,0.599,0.831,11,-4.188,1,0.0439,0.0603,0,0.204,0.624,132.019,6VIYEyjNW71NnIGEduf8D8,https://api.spotify.com/v1/audio-analysis/6VIYEyjNW71NnIGEduf8D8,4,2022-04-06T15:42:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,211167,FALSE,FALSE,https://api.spotify.com/v1/tracks/6VIYEyjNW71NnIGEduf8D8,FALSE,Remind Me,73,https://p.scdn.co/mp3-preview/6bc02fe5e188842f283144ebafecff6ee119dd26?cid=f2b7202586c7484388897a75ab4a7199,TRUE,1,track,spotify:track:6VIYEyjNW71NnIGEduf8D8,single,,,https://api.spotify.com/v1/albums/0fL8J5En5o6sd8vSHAbKGt,0fL8J5En5o6sd8vSHAbKGt,,Remind Me,2022-03-18,day,1,album,spotify:album:0fL8J5En5o6sd8vSHAbKGt,https://open.spotify.com/album/0fL8J5En5o6sd8vSHAbKGt,GBARL2200252,https://open.spotify.com/track/6VIYEyjNW71NnIGEduf8D8,NA,B,major,B major,Summer
37i9dQZF1DXcx1szy2g67M,Summer '22,https://i.scdn.co/image/ab67706f00000003835b7c5625fe92e2a09ae20b,Spotify,spotify,0.672,0.725,1,-3.716,1,0.0393,0.2,1.57e-5,0.0709,0.784,173.925,0iBWf9gz65kHxuQkZkrNUc,https://api.spotify.com/v1/audio-analysis/0iBWf9gz65kHxuQkZkrNUc,4,2022-04-06T15:42:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,179243,FALSE,FALSE,https://api.spotify.com/v1/tracks/0iBWf9gz65kHxuQkZkrNUc,FALSE,Love Myself,49,NA,TRUE,1,track,spotify:track:0iBWf9gz65kHxuQkZkrNUc,single,,,https://api.spotify.com/v1/albums/0gQZCgw5OvWAUC2NZEKLKg,0gQZCgw5OvWAUC2NZEKLKg,,Love Myself,2022-03-31,day,2,album,spotify:album:0gQZCgw5OvWAUC2NZEKLKg,https://open.spotify.com/album/0gQZCgw5OvWAUC2NZEKLKg,NLP3D2200001,https://open.spotify.com/track/0iBWf9gz65kHxuQkZkrNUc,NA,C#,major,C# major,Summer
37i9dQZF1DXcx1szy2g67M,Summer '22,https://i.scdn.co/image/ab67706f00000003835b7c5625fe92e2a09ae20b,Spotify,spotify,0.73,0.771,6,-6.973,0,0.0534,0.0321,0,0.127,0.689,159.979,63JrADDfrcjOaI6lyVkN3c,https://api.spotify.com/v1/audio-analysis/63JrADDfrcjOaI6lyVkN3c,4,2022-04-06T15:42:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,148467,FALSE,FALSE,https://api.spotify.com/v1/tracks/63JrADDfrcjOaI6lyVkN3c,FALSE,Vluchtstrook,79,https://p.scdn.co/mp3-preview/30ffa0f9c744889fec8e4c0c9d90b42835b8c0b6?cid=f2b7202586c7484388897a75ab4a7199,TRUE,1,track,spotify:track:63JrADDfrcjOaI6lyVkN3c,single,,,https://api.spotify.com/v1/albums/5u2mz0xejDfoNdOqbZaDDm,5u2mz0xejDfoNdOqbZaDDm,,Vluchtstrook,2021-11-26,day,1,album,spotify:album:5u2mz0xejDfoNdOqbZaDDm,https://open.spotify.com/album/5u2mz0xejDfoNdOqbZaDDm,NLS242100617,https://open.spotify.com/track/63JrADDfrcjOaI6lyVkN3c,NA,F#,minor,F# minor,Summer
37i9dQZF1DXcx1szy2g67M,Summer '22,https://i.scdn.co/image/ab67706f00000003835b7c5625fe92e2a09ae20b,Spotify,spotify,0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/audio-analysis/0QBzMgT7NIeoCYy3sJCof1,4,2022-04-06T15:42:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,206070,FALSE,FALSE,https://api.spotify.com/v1/tracks/0QBzMgT7NIeoCYy3sJCof1,FALSE,Bam Bam (feat. Ed Sheeran),96,https://p.scdn.co/mp3-preview/c7d17a94330a3789118aa4d7a8823fcc1f049125?cid=f2b7202586c7484388897a75ab4a7199,TRUE,1,track,spotify:track:0QBzMgT7NIeoCYy3sJCof1,single,,,https://api.spotify.com/v1/albums/6FIMt58naoGYrOe4Wn2P3n,6FIMt58naoGYrOe4Wn2P3n,,Bam Bam (feat. Ed Sheeran),2022-03-04,day,1,album,spotify:album:6FIMt58naoGYrOe4Wn2P3n,https://open.spotify.com/album/6FIMt58naoGYrOe4Wn2P3n,USSM12200047,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1,NA,G#,major,G# major,Summer
37i9dQZF1DXcx1szy2g67M,Summer '22,https://i.scdn.co/image/ab67706f00000003835b7c5625fe92e2a09ae20b,Spotify,spotify,0.592,0.837,8,-4.341,1,0.17,0.00633,0,0.12,0.287,121.897,5viz8trU1uh1pngW0hWr3l,https://api.spotify.com/v1/audio-analysis/5viz8trU1uh1pngW0hWr3l,4,2022-04-06T15:42:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,234186,FALSE,FALSE,https://api.spotify.com/v1/tracks/5viz8trU1uh1pngW0hWr3l,FALSE,Give Me The Reason,71,NA,TRUE,1,track,spotify:track:5viz8trU1uh1pngW0hWr3l,single,,,https://api.spotify.com/v1/albums/2IKvoLYI5mb0eyKWiB2G2z,2IKvoLYI5mb0eyKWiB2G2z,,Give Me The Reason,2022-03-24,day,1,album,spotify:album:2IKvoLYI5mb0eyKWiB2G2z,https://open.spotify.com/album/2IKvoLYI5mb0eyKWiB2G2z,USUM72200600,https://open.spotify.com/track/5viz8trU1uh1pngW0hWr3l,NA,G#,major,G# major,Summer
37i9dQZF1DXcx1szy2g67M,Summer '22,https://i.scdn.co/image/ab67706f00000003835b7c5625fe92e2a09ae20b,Spotify,spotify,0.448,0.932,5,-4.75,1,0.0457,0.0152,0,0.129,0.699,165.437,7j2TJXhcE1aAzB6Evmgvm0,https://api.spotify.com/v1/audio-analysis/7j2TJXhcE1aAzB6Evmgvm0,4,2022-04-06T15:42:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,229761,FALSE,FALSE,https://api.spotify.com/v1/tracks/7j2TJXhcE1aAzB6Evmgvm0,FALSE,Through The Looking Glass,49,https://p.scdn.co/mp3-preview/2c45bde0ba4948713fe1b3a06f5575478fe69fbe?cid=f2b7202586c7484388897a75ab4a7199,TRUE,1,track,spotify:track:7j2TJXhcE1aAzB6Evmgvm0,single,,,https://api.spotify.com/v1/albums/5F9Y7Rx1ILWqQQXVilf0KN,5F9Y7Rx1ILWqQQXVilf0KN,,Through The Looking Glass,2022-04-01,day,1,album,spotify:album:5F9Y7Rx1ILWqQQXVilf0KN,https://open.spotify.com/album/5F9Y7Rx1ILWqQQXVilf0KN,NLZ292200041,https://open.spotify.com/track/7j2TJXhcE1aAzB6Evmgvm0,NA,F,major,F major,Summer
37i9dQZF1DXcx1szy2g67M,Summer '22,https://i.scdn.co/image/ab67706f00000003835b7c5625fe92e2a09ae20b,Spotify,spotify,0.685,0.699,6,-7.803,0,0.0349,0.317,0,0.0895,0.884,134.057,0sBJA2OCEECMs0HsdIQhvR,https://api.spotify.com/v1/audio-analysis/0sBJA2OCEECMs0HsdIQhvR,4,2022-04-06T15:42:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,192947,FALSE,FALSE,https://api.spotify.com/v1/tracks/0sBJA2OCEECMs0HsdIQhvR,FALSE,West Coast,83,NA,TRUE,1,track,spotify:track:0sBJA2OCEECMs0HsdIQhvR,single,,,https://api.spotify.com/v1/albums/1EM2RddQo9GGjrCsE1bk7a,1EM2RddQo9GGjrCsE1bk7a,,West Coast,2022-02-25,day,1,album,spotify:album:1EM2RddQo9GGjrCsE1bk7a,https://open.spotify.com/album/1EM2RddQo9GGjrCsE1bk7a,USUM72202540,https://open.spotify.com/track/0sBJA2OCEECMs0HsdIQhvR,NA,F#,minor,F# minor,Summer
37i9dQZF1DXcx1szy2g67M,Summer '22,https://i.scdn.co/image/ab67706f00000003835b7c5625fe92e2a09ae20b,Spotify,spotify,0.63,0.91,10,-2.681,0,0.058,0.0231,1.91e-6,0.125,0.525,123.017,6Owc2SuzwO3LW1SAODYK3l,https://api.spotify.com/v1/audio-analysis/6Owc2SuzwO3LW1SAODYK3l,4,2022-04-06T15:42:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,167142,FALSE,FALSE,https://api.spotify.com/v1/tracks/6Owc2SuzwO3LW1SAODYK3l,FALSE,Melody,82,https://p.scdn.co/mp3-preview/e5ac330d3d936956df0f45855955a011c2efae23?cid=f2b7202586c7484388897a75ab4a7199,TRUE,1,track,spotify:track:6Owc2SuzwO3LW1SAODYK3l,single,,,https://api.spotify.com/v1/albums/1pLnRSFohTMJjT6gW9CIXg,1pLnRSFohTMJjT6gW9CIXg,,Melody,2022-01-21,day,1,album,spotify:album:1pLnRSFohTMJjT6gW9CIXg,https://open.spotify.com/album/1pLnRSFohTMJjT6gW9CIXg,GBCEN2100229,https://open.spotify.com/track/6Owc2SuzwO3LW1SAODYK3l,NA,A#,minor,A# minor,Summer
37i9dQZF1DXcx1szy2g67M,Summer '22,https://i.scdn.co/image/ab67706f00000003835b7c5625fe92e2a09ae20b,Spotify,spotify,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-5,0.0901,0.464,117.953,18asYwWugKjjsihZ0YvRxO,https://api.spotify.com/v1/audio-analysis/18asYwWugKjjsihZ0YvRxO,4,2022-04-06T15:42:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,164818,FALSE,FALSE,https://api.spotify.com/v1/tracks/18asYwWugKjjsihZ0YvRxO,FALSE,The Motto,96,https://p.scdn.co/mp3-preview/bf5bc1080a2416f74152f30febd4495e310c8140?cid=f2b7202586c7484388897a75ab4a7199,TRUE,1,track,spotify:track:18asYwWugKjjsihZ0YvRxO,single,,,https://api.spotify.com/v1/albums/278z9UXJaMNDH9Bel9uAxV,278z9UXJaMNDH9Bel9uAxV,,The Motto,2021-11-04,day,1,album,spotify:album:278z9UXJaMNDH9Bel9uAxV,https://open.spotify.com/album/278z9UXJaMNDH9Bel9uAxV,CYA112001070,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO,NA,G,minor,G minor,Summer
37i9dQZF1DXcx1szy2g67M,Summer '22,https://i.scdn.co/image/ab67706f00000003835b7c5625fe92e2a09ae20b,Spotify,spotify,0.37,0.559,0,-5.589,1,0.0526,0.186,0,0.121,0.316,162.816,6HJizCbaqaEQG1eLjn341Z,https://api.spotify.com/v1/audio-analysis/6HJizCbaqaEQG1eLjn341Z,4,2022-04-06T15:42:59Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,180274,FALSE,FALSE,https://api.spotify.com/v1/tracks/6HJizCbaqaEQG1eLjn341Z,FALSE,Hurtless,73,NA,TRUE,1,track,spotify:track:6HJizCbaqaEQG1eLjn341Z,single,,,https://api.spotify.com/v1/albums/1WKIR7hhHN1DvJPn09gIST,1WKIR7hhHN1DvJPn09gIST,,Hurtless,2022-03-31,day,1,album,spotify:album:1WKIR7hhHN1DvJPn09gIST,https://open.spotify.com/album/1WKIR7hhHN1DvJPn09gIST,AUUM72100595,https://open.spotify.com/track/6HJizCbaqaEQG1eLjn341Z,NA,C,major,C major,Summer
